"Name","Type","GB"
"24-2506 Oak Street Health - Farmer_s Branch, TX.zip","File","0.055"
"!FULL_SET.pdf","File","0.055"
"Sales 1.mp4","File","0.054"
"CraigRanchStorageFullSetCitySubmittal.pdf","File","0.053"
"UpToDateSetCBSH.pdf","File","0.052"
"ManeGait Administration Building.zip","File","0.052"
"Combined_Pulte_LegacyDD_Set.pdf","File","0.051"
"PP9FiiGwTCdr_1705609932.zip","File","0.05"
"Ok7E89GN5OzH_1705604915.zip","File","0.05"
"Gateway Argyle.zip","File","0.048"
"Transfer (1).zip","File","0.048"
"04.Architecture.pdf","File","0.047"
"AutoZone 5854 Plano, TX.zip","File","0.047"
"Providing Insurance and Financial Services.pdf","File","0.047"
"Strickland Brothers Bid Set 9.28.23.pdf","File","0.046"
"2 - Architect Specifications.zip","File","0.046"
"23-050.00_Sherman HS Additions_50% CD Drawings.pdf","File","0.044"
"CANTINALAROSA_BIDSET.pdf","File","0.044"
"ASMEPIFPSet.pdf","File","0.044"
"CANTINA LA ROSA_BID SET.pdf","File","0.044"
"12.22.23FULLSET.pdf","File","0.042"
"JUSTINDAYCAREBOUNDREV1SET092823.pdf","File","0.039"
"JustinDaycareArch.S.MEP.pdf","File","0.039"
"The_AI_Playbook_Behind_Texas_Roofing.m4a","File","0.035"
"Malcolm_s Point Retail _ DD Budget Request.zip","File","0.034"
"Allstate Insurance Company.pdf","File","0.034"
"6916_FINAL_DRAFT_DEPREC_CON.pdf","File","0.033"
"72wobBLT1l6O_1705590427.zip","File","0.032"
"IMG_1490.MOV","File","0.032"
"Greenwood-II-Plans.zip","File","0.032"
"20220506BuildingBPermitSet.pdf","File","0.032"
"SunnyvaleOfficeIIPlans.pdf","File","0.031"
"231114 LTOP Compiled IFP Set (1).pdf","File","0.031"
"PaigeEstatesSpecs.pdf","File","0.031"
"z33Zpe9les5e_1706537131.zip","File","0.031"
"231114 LTOP Compiled IFP Set.pdf","File","0.031"
"D385-20 - CD Set 05-15-2023.pdf","File","0.03"
"2023-1108_Hillstead_Amenity_DD_Set_Arch-Int-Struct.pdf","File","0.03"
"2023.0425PantegoTXTakeoverCombinedOTPset.pdf","File","0.03"
"226006_B1_IFP_FULL.pdf","File","0.029"
"04.Architecture (1)_compressed.pdf","File","0.029"
"PINEAPPLE ROOFING DISCOVERY VILLAGE SUBMITTALS.docx","File","0.028"
"226006_B2_IFP_FULL.pdf","File","0.027"
"IMG_9535.MOV","File","0.027"
"226006_B3_IFP_FULL.pdf","File","0.027"
"The_Pineapple_Playbook.pptx","File","0.026"
"REDOAKACADEMYFULLSET.pdf","File","0.025"
"$25,236.24_Davis_Repair_Initial_Estimate.pdf","File","0.024"
"IMG_2932.mp4","File","0.024"
"Final Bid Plan Set 11-06 (1).pdf","File","0.024"
"Final Bid Plan Set 11-06.pdf","File","0.024"
"IMG_2932 (1).mp4","File","0.024"
"Frisco_s_Guide_to_Roof_Safety.mp4","File","0.023"
"FULLSETPLANS.pdf","File","0.023"
"WhyNTX.pdf","File","0.022"
"CelinaARCHCitySub22323.pdf","File","0.022"
"ant_windows_amd64","Folder","0.022"
"Ebook - The Hustle - The New Guard of Luxury Fashion.pdf","File","0.021"
"TerrellMedicalOfficePlans.pdf","File","0.021"
"Magnolia Village- Civils (1).pdf","File","0.02"
"Magnolia Village- Civils.pdf","File","0.02"
"Spresser Estimate Not Completed (1).pdf","File","0.019"
"Spresser Estimate Not Completed.pdf","File","0.019"
"pdf24_merged.pdf","File","0.018"
"PINEAPPLE ROOFING DISCOVERY VILLAGE SUBMITTALS.pdf","File","0.018"
"S10023- 403 S Collins Blvd- Sunnyvale TX- Final Construction Documents 12 07 23.pdf","File","0.018"
"Corsicana Animal Shelter Addition - Corsicana, TX(Bids Due 11_10).zip","File","0.018"
"GODDARDCELINA_SPECIFICATIONBOOK.pdf","File","0.018"
"pineapple-m7-agent-os-one-click-2026-08-05","Folder","0.018"
"20231218_permitissue_MelissaMilranyII.pdf","File","0.018"
"TPO-Smooth-Adhered-1b.zip","File","0.018"
"Project Manual (2).pdf","File","0.017"
"The_Pineapple_Sales_Playbook.pptx","File","0.017"
"The_Pineapple_Protocol.pptx","File","0.017"
"Project Manual (1).pdf","File","0.017"
"agent-os-pack-2026-07-18.zip","File","0.016"
"agent-os-pack-2026-07-17.zip","File","0.016"
"agent-os-pack-2026-07-30.zip","File","0.016"
"agent-os-pack-2026-07-21.zip","File","0.016"
"agent-os-pack-2026-07-06.zip","File","0.016"
"pineapple-m7-agent-os-one-click-2026-08-05.zip","File","0.016"
"agent-os-pack-2026-07-13.zip","File","0.016"
"agent-os-pack-2026-07-10.zip","File","0.016"
"Post Bid Addendum 7-28-22.zip","File","0.016"
"agent-os-pack-2026-07-31.zip","File","0.016"
"agent-os-pack-2026-08-03.zip","File","0.016"
"agent-os-pack-2026-08-06.zip","File","0.016"
"agent-os-pack-2026-08-14.zip","File","0.016"
"agent-os-pack-2026-08-10.zip","File","0.016"
"agent-os-pack-2026-08-11.zip","File","0.016"
"Primark Grapevine TX Bid Set.pdf","File","0.015"
"Primark Grapevine TX Bid Set (1).pdf","File","0.015"
"Supplement_Roof_Replacement_$88,934.69.pdf","File","0.015"
"IMG_7742.MOV","File","0.015"
"APP-Torch-Applied-1b.zip","File","0.015"
"SBS-Cold-Applied-1b.zip","File","0.015"
"Post Bid Addendum 7-8-2022.zip","File","0.014"
"Tile 2.pdf","File","0.014"
"Project Manual.pdf","File","0.014"
"comet_installer_latest.exe","File","0.014"
"Wayne Lo-Jul 01 2023 04_00PM-3439108.mp4","File","0.013"
"PAMELA_AGATHON_FINAL_DRAFT_DEPREC_CAR.pdf","File","0.013"
"102023 Corsicana Animal Shelter Addition.pdf","File","0.013"
"2023-12-18_ Specifications Melissa_Milrany II.pdf","File","0.013"
"TRAINING MANUAL.pdf","File","0.013"
"ET3850_3850SE_Lite_NA.exe","File","0.013"
"2023 Roof Sales Mastery New Hires Sales Training Manual.pdf","File","0.013"
"MerlinStreet-PGDSet_compressed.pdf","File","0.013"
"pineapple_-2.jpg","File","0.013"
"Video.mov","File","0.012"
"PJ000163_Arlington_Tennis_Center_Renovation_PROJECT_MANUAL_11.09.23_20231109093035_4267.pdf","File","0.012"
"222300_GMP1_ADD1.pdf","File","0.012"
"059446081 (1).pdf","File","0.012"
"Highland Park Metal roofing.mp4","File","0.012"
"Suhail Bhaidani - Supplement.pdf","File","0.012"
"Highland Park Metal roofing (1).mp4","File","0.012"
"GoogleAppInstaller.exe","File","0.011"
"ChromeSetup (1).exe","File","0.011"
"09.Electrical.pdf","File","0.011"
"5EchoFortWorthTXSPECS.pdf","File","0.011"
"$13,031.99_Bain estimate.pdf","File","0.011"
"Pineapple_West_Claim_%24144%2C899.66.pdf","File","0.01"
"Discovery Village.zip","File","0.01"
"image (1).jpeg","File","0.01"
"agent-os-pack-2026-06-27.zip","File","0.01"
"ABPAC23070027_SECOND_REPORT_-_ENGINEER_RPT (1).PDF","File","0.009"
"Latest Complete Set_Oct2023 (002).pdf","File","0.009"
"POVthehouseyourmanagerwantsyoutoknock.mp4","File","0.009"
"Pineapple Realtor Flyers_RV3_No Realtor Information.pdf","File","0.009"
"Cowboys_Operational_Dossier.pdf","File","0.009"
"Google.pdf","File","0.009"
"077200-01 Roof Accessories - PD,SD_Exceptions as Noted.pdf","File","0.009"
"Video (1).mov","File","0.009"
"ABPAC23070027_SECOND_REPORT_-_ENGINEER_RPT.PDF","File","0.009"
"image (10).jpeg","File","0.008"
"06.Structural.pdf","File","0.008"
"image (11).jpeg","File","0.008"
"New Con flyer (1) (1).pdf","File","0.008"
"New Con flyer (1).pdf","File","0.008"
"budget_project.pdf","File","0.008"
"The-Remnant-at-Greenwood-II-Project-Manual.pdf","File","0.008"
"Tile 4.pdf","File","0.008"
"image.jpeg","File","0.008"
"image (9).jpeg","File","0.008"
"NewAgeWealth-GalaDinner (1) (1).pdf","File","0.008"
"NewAgeWealth-GalaDinner (1).pdf","File","0.008"
"Spresser Estimate 2024.pdf","File","0.008"
"New Con flyer (1) (2).pdf","File","0.008"
"057407790.pdf","File","0.008"
"NewAgeWealth-GalaDinner (3).pdf","File","0.008"
"NewAgeWealth-GalaDinner.pdf","File","0.008"
"image (12).jpeg","File","0.008"
"NewAgeWealth-GalaDinner (2).pdf","File","0.008"
"pineapple-5.jpg","File","0.007"
"08.plumbing.pdf","File","0.007"
"Rowlett Enterprise Plan Set.pdf","File","0.007"
"07.Mechanical.pdf","File","0.007"
"Maui Pineapple Roofing.png","File","0.007"
"4137_FINAL_DRAFT_CON-compressed.pdf","File","0.007"
"Rowlett Enterprise Plan Set (1).pdf","File","0.007"
"0075Flower_arch_BidSet_2023-11-17.pdf","File","0.007"
"ant_1.12.2_windows_amd64.zip","File","0.007"
"image (2).jpeg","File","0.007"
"Pineapple_Social_Architecture.pptx","File","0.007"
"20230816 - MFD HQ - Pkg A - Fire Station ADDENDUM 1.pdf","File","0.007"
"Tile 3.pdf","File","0.007"
"Wayne Lo-Jul 01 2023 04_03PM-3439120.mp4","File","0.006"
"GrandPrairieEOC_PMVol1_2023.11.02.pdf","File","0.006"
"New_Estimate.pdf","File","0.006"
"Pineapple_Social_Architecture.pdf","File","0.006"
"Final Supplement 35,925.61","File","0.006"
"2023-11-28_Pulte_Legacy_Hills_80__Construction_Document__Missing_Sheets_.pdf","File","0.006"
"Claude Setup.exe","File","0.006"
"Claude Setup (1).exe","File","0.006"
"image (3).jpeg","File","0.006"
"2023-11-01 Salsa Limon_100_ Construction Documents full set.pdf","File","0.006"
"Fire Station Phase 2 Plans.pdf","File","0.006"
"pineapple_-32.jpg","File","0.006"
"FinalEstimate.pdf","File","0.006"
"fwdmartinezmitigationrationale.zip","File","0.006"
"$6,185.231_Villarreal_EMS_Est.pdf","File","0.005"
"6MechanicalTESLAFlowerMoundTX.pdf","File","0.005"
"$24,827.61 GERID_SPRESSER_SUPP.pdf","File","0.005"
"Jenney Cline.pdf","File","0.005"
"$3,761.81_Villareal_EMS.pdf","File","0.005"
"3704_CONTRACTOR ESTIMATE $122,879.06","File","0.005"
"$17,406.44_Donald_McCasland_EMS.pdf","File","0.005"
"repineapplevendorpacket.zip","File","0.005"
"The-Remnant-at-Greenwood-I-Project-Manual.pdf","File","0.005"
"image (4).jpeg","File","0.005"
"SEO Audit Pineapple Roofing.pdf","File","0.005"
"LUCIA WEATHERALL ATR SIGNED.pdf","File","0.005"
"Basheer_Supplement_%2442%2C828.34.pdf","File","0.005"
"Marketing-Plan-Template-HubSpot.docx","File","0.005"
"f39d4d7869d54ad09bc439dea8ab8ecb.MOV","File","0.005"
"image (8).jpeg","File","0.005"
"CatalogSouthCentral.pdf","File","0.004"
"final draft $33.875.15","File","0.004"
"BirdviewCtlg_2017.pdf","File","0.004"
"Revised Estimate (3).pdf","File","0.004"
"Generated_Traditional_Commission2301_2572717_.pdf","File","0.004"
"TOPO,  Magnolia Village-L100a.pdf","File","0.004"
"Project Manager Check List.pdf","File","0.004"
"TOPO,  Magnolia Village-L100a (2).pdf","File","0.004"
"TOPO,  Magnolia Village-L100a (1).pdf","File","0.004"
"IMG-1358.JPG","File","0.004"
"$12,848.34_McCasland_Tarp (2).pdf","File","0.004"
"$12,848.34_McCasland_Tarp (1).pdf","File","0.004"
"photos-2025-02-18-4Uws.zip","File","0.004"
"RARC LewisvilleCastleHills - Joe Van Asten Torin St.pdf","File","0.004"
"$12,848.34_McCasland_Tarp.pdf","File","0.004"
"Pineapple-Roofing-Hail-Guide (1).pdf","File","0.004"
"CUBBERLY - $40,442.68.pdf","File","0.004"
"UpdatedESt3.9.25.pdf","File","0.004"
"Pineapple-Roofing-Hail-Guide.pdf","File","0.004"
"10-03-2024 Roof Replacement Approval_ 5A-17K.pdf","File","0.004"
"058905273 (1).pdf","File","0.004"
"Nguyen Estimate.pdf","File","0.004"
"Acrobat_Set-Up (1).exe","File","0.003"
"$12,207,41_Marrerro_Repair_Est.pdf","File","0.003"
"057312602.pdf","File","0.003"
"AI Roofing Business Master Blueprint.docx","File","0.003"
"JAMES MCCOLLOUGH WORK AUTHORIZATION SIGNED.pdf","File","0.003"
"Acrobat_Set-Up.exe","File","0.003"
"image (6).jpeg","File","0.003"
"RD Brochure Portrait (2).pdf","File","0.003"
"RD Brochure Portrait.pdf","File","0.003"
"Master Registration Fillable Form (1).pdf","File","0.003"
"RD Brochure Portrait (1).pdf","File","0.003"
"zuops-ad-1774901979643.png","File","0.003"
"photo_20231127T0817.jpg","File","0.003"
"Master Registration Fillable Form.pdf","File","0.003"
"photo_20231115T1117.jpg","File","0.003"
"iko-dynasty-brochure-do (2).pdf","File","0.003"
"iko-dynasty-brochure-do.pdf","File","0.003"
"iko-dynasty-brochure-do (1).pdf","File","0.003"
"IMG_3888.jpg","File","0.003"
"IMG_8633.jpeg","File","0.003"
"IMG_9865.jpg","File","0.003"
"Ho_An_Revision.pdf","File","0.003"
"$7,214.39_Ho_An_Revision_removed_roof.pdf","File","0.003"
"075423-02_TPO Roofing Color Sample_R&R.pdf","File","0.003"
"Geotech for 102 Barnett Blvd. in H.V..pdf","File","0.003"
"DS11_Complete.pdf","File","0.003"
"BOMA GD Certificate of Insurance  - 04.10.24.pdf","File","0.003"
"Geotech for 102 Barnett Blvd. in H.V. (1).pdf","File","0.003"
"CapCut_7628066145874149390_installer.exe","File","0.003"
"F7F4EEE4-6FA6-4A72-9264-1187E8EA9355.jpeg","File","0.003"
"zuops-ad-1774901467162.png","File","0.003"
"photo_20231204T1017.jpg","File","0.003"
"Cavazos Store Bid Set 10.9.23.pdf","File","0.003"
"ChatGPT Image Mar 26, 2026, 12_01_56 PM.png","File","0.003"
"final_trust_stack_collage.png","File","0.002"
"photo_20231207T0717.jpg","File","0.002"
"058282327 KYLE JOHNSON ITEL LAB REPORT (1).pdf","File","0.002"
"Finley Approved Estimate (1).pdf","File","0.002"
"058282327 KYLE JOHNSON ITEL LAB REPORT.pdf","File","0.002"
"Sachse-Phase I-Specs-Add B.pdf","File","0.002"
"058282327 KYLE JOHNSON ITEL LAB REPORT (2).pdf","File","0.002"
"PINEAPPLE-ROOFING-SHEET-METAL-FLASHING-DV-SUBMITTALS.pdf","File","0.002"
"Finley Approved Estimate (2).pdf","File","0.002"
"attachments","Folder","0.002"
"NEETASH SHARMA 3RD PARTY FORM.pdf","File","0.002"
"Finley Approved Estimate.pdf","File","0.002"
"Artisan-Plan-One-Pager-2025.pdf","File","0.002"
"down-net_http20250610-68-vs8xi7.jpg","File","0.002"
"down-net_http20250424-158-qkd6ui.jpg","File","0.002"
"low.MOV","File","0.002"
"$2,787.57_Lagena_EMS_Tarp.pdf","File","0.002"
"CE Application (1).pdf","File","0.002"
"down-net_http20250403-73-u8wih4.jpg","File","0.002"
"PR-05 (1).pdf","File","0.002"
"PR-05.pdf","File","0.002"
"Mcclure Estimate 059229801 (1).pdf","File","0.002"
"City of McKinney Permit Packet & link to online system.pdf","File","0.002"
"down-net_http20250218-109-778vxt.jpeg","File","0.002"
"content_calendar_infographic.png","File","0.002"
"Azek-Trim-Moulding.pdf","File","0.002"
"Azek-Trim-Moulding (1).pdf","File","0.002"
"attachments.zip","File","0.002"
"NEETASH SHARMA 3RD PARTY FORM (1).pdf","File","0.002"
"FINAL TRUST TOKO STACK.png","File","0.002"
"Rewritten_Meta_Ad_Drafts_for_65+_Frisco_Demographic.docx","File","0.002"
"low (1).MOV","File","0.002"
"Rewritten_Meta_Ad_Drafts_for_65+_Frisco_Demographic.pdf","File","0.002"
"MP_DEVELOPMENT PLAN_PHASED Construction.pdf","File","0.002"
"Estimate.pdf","File","0.002"
"IMG_2163.jpeg","File","0.002"
"The Kingdom’s Inheritance - Heritage Playbook.pdf","File","0.002"
"Gemini_Generated_Image_ra7jdqra7jdqra7j.png","File","0.002"
"IICRC LOGAN THOMPSON CERT.jpg","File","0.002"
"trust_stack_collage (1).png","File","0.002"
"Trust Stack Collage","File","0.002"
"OFAC Sheet - 2025.pdf","File","0.002"
"Accuserve Inspection Checklist.pdf","File","0.002"
"image (7).jpeg","File","0.002"
"2025+roofing+season+presentation+-+printable+copy.pdf","File","0.002"
"Galloway HOVER.pdf","File","0.002"
"The Unbroken Kingdom - Tongan Heritage Playbook.pdf","File","0.002"
"image (5).jpeg","File","0.002"
"Gemini Content.md","File","0.002"
"SNM TX DL 36210726.JPG","File","0.002"
"SNM TX DL 36210726.jpeg","File","0.002"
"1-Feb 06 2025 07_35pm-PCZL.jpeg","File","0.002"
"SNM TX DL 36210726.pdf","File","0.002"
"photo_20231221T0817.jpg","File","0.002"
"NotebookLM Mind Map (1).png","File","0.002"
"photo_20231228T0917.jpg","File","0.002"
"trust_stack_collage.png","File","0.002"
"IMG_8629.jpeg","File","0.002"
"IMG_8628.jpeg","File","0.002"
"A-301_ EXTERIOR BUILDING ELEVATIONS Rev.1 markup.pdf","File","0.002"
"photo_20231109T0717.jpg","File","0.002"
"hover_pro_measurements_11030455.pdf","File","0.002"
"USAA_REPORT.PDF.pdf","File","0.002"
"IMG_1073 (1).jpg","File","0.002"
"Full Report - 3925 Brookridge Ct, Bedford, TX 76021, USA.pdf","File","0.002"
"Full Report - 3615 Hulen Park Cir, Fort Worth, TX 76123, USA.pdf","File","0.002"
"Full Report - 4301 Saginaw Ln, Carrollton, TX 75010, USA.pdf","File","0.002"
"Full Report - 5905 Middleton Dr, Allen, TX 75002, USA.pdf","File","0.002"
"Full Report - 5901 Parker Village Dr, Allen, TX 75002, USA.pdf","File","0.002"
"image_media_01KM9KQ6X7H8TZXE7M3Q8YEWBZ.png","File","0.002"
"Ana Sitani  Legacy Christian Academy.zip","File","0.002"
"JIMMY THOMAS INVOICE 7.23.25.pdf","File","0.002"
"IMG_1054.jpg","File","0.002"
"Full Report - 2016 London Ln, The Colony, TX 75056, USA.pdf","File","0.002"
"Full Report - 2508 Red Draw Rd, Fort Worth, TX 76177, USA.pdf","File","0.002"
"Full Report - 216 Sir Brine Dr, Lewisville, TX 75056, USA.pdf","File","0.002"
"Full Report - 2124 Ironside Dr, The Colony, TX 75056, USA.pdf","File","0.002"
"Full Report - 7109 Galloway Ct, The Colony, TX 75056, USA.pdf","File","0.002"
"Tile 1.pdf","File","0.002"
"Full Report - 904 Crestview Dr, Bedford, TX 76021, USA.pdf","File","0.002"
"GAF Hail Maps - E. Texas & N. LA - 3.15.26.pdf","File","0.002"
"Full Report - 429 Dennis Bailey Ln, Heath, TX 75032, USA.pdf","File","0.002"
"photo_20231130T0617.jpg","File","0.001"
"NTX W9 2025.pdf","File","0.001"
"photo_20231120T0617.jpg","File","0.001"
"Provider ACH form (SF-3881)_1.pdf","File","0.001"
"image0.jpeg","File","0.001"
"hover_pro_measurements_16568197 (1).pdf","File","0.001"
"hover_pro_measurements_16568197.pdf","File","0.001"
"CSAA COS-Certificate of Satisfaction-2023 (1).pdf","File","0.001"
"Program Stages (updated 4-2024).pdf","File","0.001"
"HOVER Best Practices.pdf","File","0.001"
"Doc-638882540737801876-1359276-20250616_-_Kimberly_Felix_-_221_BRAZ_ST(07-16-2025 10_29).pdf","File","0.001"
"photo_20231107T0617.jpg","File","0.001"
"Insulation_and_SinglePly_Adhesives_Primers__Sealants_Guide.pdf","File","0.001"
"down-net_http20250403-139-4rqc9x.jpg","File","0.001"
"down-net_http20250403-135-va2nj5.jpg","File","0.001"
"down-net_http20250403-132-fckrz9.jpg","File","0.001"
"image0 (1).jpeg","File","0.001"
"image0 (2).jpeg","File","0.001"
"NEW - SLA Quick Reference Sheet 6.21.23 rev.pdf","File","0.001"
"NTX Insurance 2025.pdf","File","0.001"
"down-net_http20250403-107-w2oghe.jpg","File","0.001"
"down-net_http20250318-105-u3fosa.jpg","File","0.001"
"down-net_http20250218-109-778vxt.jpg","File","0.001"
"down-net_http20250403-118-mo9ca6.jpg","File","0.001"
"photo_20231201T0617.jpg","File","0.001"
"Proper Use of the Shingle Gauge.pdf","File","0.001"
"IMG_0118.JPEG","File","0.001"
"Martinez_Supp_-_pre_separate.pdf","File","0.001"
"Data_Sheet__EverGuard_OnePart_Pourable_Sealant_COMEG181.pdf","File","0.001"
"Manus Installer (1).exe","File","0.001"
"How to submit a project in Mygov 5_2023.pdf","File","0.001"
"Data_Sheet__EverGuard_TPO_60mil_Membrane_342.pdf","File","0.001"
"Davis Invoice - deductible (1).docx","File","0.001"
"Data_Sheet__OlyBond500_EquipmentFree_Canister_System_COMGN729.pdf","File","0.001"
"photos-2025-03-25-wHDA.zip","File","0.001"
"PATTY 6582 CHICORY PINEAPPLE ESTIMATE.pdf","File","0.001"
"pdf24_merged (1).pdf","File","0.001"
"IMG_1689.jpg","File","0.001"
