Old URL (pineapplecontractors.com),New URL (pineappleroofingllc.com),Status,Priority,Notes
https://www.pineapplecontractors.com/roofing-services/pvc-roofing/,https://pineappleroofingllc.com/services/pvc-roofing-dfw/,BUILD,3,Build PVC page
https://www.pineapplecontractors.com/roofing-services/shingle-roofing/,https://pineappleroofingllc.com/services/shingle-roofing-dfw/,BUILD,3,Build shingle page
https://www.pineapplecontractors.com/service-areas/collin-county-tx/frisco/,https://pineappleroofingllc.com/locations/frisco-tx/,BUILD,1,Top city
https://www.pineapplecontractors.com/service-areas/collin-county-tx/frisco/roof-replacement/,https://pineappleroofingllc.com/locations/frisco-tx/,BUILD,1,Sub -> city page (or build sub)
https://www.pineapplecontractors.com/service-areas/collin-county-tx/mckinney/,https://pineappleroofingllc.com/locations/mckinney-tx/,BUILD,1,Top city
https://www.pineapplecontractors.com/service-areas/collin-county-tx/allen/,https://pineappleroofingllc.com/locations/allen-tx/,BUILD,1,Top city
https://www.pineapplecontractors.com/service-areas/collin-county-tx/plano/,https://pineappleroofingllc.com/locations/plano-tx/,BUILD,1,Top city
https://www.pineapplecontractors.com/service-areas/collin-county-tx/prosper/,https://pineappleroofingllc.com/locations/prosper-tx/,BUILD,2,City
https://www.pineapplecontractors.com/service-areas/collin-county-tx/celina/,https://pineappleroofingllc.com/locations/celina-tx/,BUILD,2,City
https://www.pineapplecontractors.com/service-areas/collin-county-tx/melissa/,https://pineappleroofingllc.com/locations/melissa-tx/,BUILD,2,City
https://www.pineapplecontractors.com/service-areas/denton-county-tx/lewisville/,https://pineappleroofingllc.com/locations/lewisville-tx/,BUILD,1,HQ city
https://www.pineapplecontractors.com/service-areas/denton-county-tx/the-colony/,https://pineappleroofingllc.com/locations/the-colony-tx/,BUILD,1,City
https://www.pineapplecontractors.com/service-areas/denton-county-tx/flower-mound/,https://pineappleroofingllc.com/locations/flower-mound-tx/,BUILD,1,City
https://www.pineapplecontractors.com/service-areas/denton-county-tx/denton/,https://pineappleroofingllc.com/locations/denton-tx/,BUILD,2,City
https://www.pineapplecontractors.com/service-areas/denton-county-tx/little-elm/,https://pineappleroofingllc.com/locations/little-elm-tx/,BUILD,2,City
https://www.pineapplecontractors.com/service-areas/tarrant-county-tx/fort-worth/,https://pineappleroofingllc.com/locations/fort-worth-tx/,BUILD,1,Major city
https://www.pineapplecontractors.com/service-areas/tarrant-county-tx/arlington/,https://pineappleroofingllc.com/locations/arlington-tx/,BUILD,1,Major city
https://www.pineapplecontractors.com/service-areas/tarrant-county-tx/grapevine/,https://pineappleroofingllc.com/locations/grapevine-tx/,BUILD,2,City
https://www.pineapplecontractors.com/service-areas/tarrant-county-tx/southlake/,https://pineappleroofingllc.com/locations/southlake-tx/,BUILD,2,Affluent city
https://www.pineapplecontractors.com/service-areas/tarrant-county-tx/keller/,https://pineappleroofingllc.com/locations/keller-tx/,BUILD,2,City
https://www.pineapplecontractors.com/service-areas/tarrant-county-tx/colleyville/,https://pineappleroofingllc.com/locations/colleyville-tx/,BUILD,2,Affluent city
https://www.pineapplecontractors.com/service-areas/dallas-county-tx/dallas/,https://pineappleroofingllc.com/locations/dallas-tx/,BUILD,1,Major city
https://www.pineapplecontractors.com/service-areas/dallas-county-tx/irving/,https://pineappleroofingllc.com/locations/irving-tx/,BUILD,1,City
https://www.pineapplecontractors.com/service-areas/dallas-county-tx/garland/,https://pineappleroofingllc.com/locations/garland-tx/,BUILD,2,City
https://www.pineapplecontractors.com/service-areas/rockwall-county-tx/rockwall/,https://pineappleroofingllc.com/locations/rockwall-tx/,BUILD,2,City
